mulder_lines,season,episode
MULDER: What is it?  ,3,8
MULDER: Whos the photographer?  ,3,8
MULDER: What have you got on him?  ,3,8
MULDER: Have you shown this picture to Amys little sister?  ,3,8
MULDER: Im going to take it and show it to Lucy.  ,3,8
MULDER: Lucy?  ,3,8
"MULDER: Lucy, wait.  ",3,8
"MULDER: I just want to ask you a question. Lucy, wait a second. (reaches for her)  ",3,8
MULDER: Im sorry.  ,3,8
"MULDER: I just want to show you a photograph, okay?  ",3,8
MULDER: You recognize him dont you?  ,3,8
MULDER: Lucy.  ,3,8
MULDER: Lucy?  ,3,8
MULDER: Hes probably changed a lot over the last 17 years. Did you even know his name? Carl Wade. He worked as a photographers assistant. School pictures mostly. Thats where he saw Amy Jacobs.  ,3,8
MULDER: I want you to tell me what youre going through. It might feel good to tell somebody.  ,3,8
"MULDER: You can actually feel what shes going through, cant you?  ",3,8
"MULDER: Lucy, she needs your help.  ",3,8
MULDER: Lucy .  ,3,8
"MULDER: (to LUCY) Wait here a second, okay?  ",3,8
MULDER: Whats going on?  ,3,8
MULDER: Why?  ,3,8
MULDER: What the hell is happening?  ,3,8
"MULDER: She didnt do it, Scully.  ",3,8
MULDER: She was just here.  ,3,8
MULDER: Youre going to drive her away with this.  ,3,8
MULDER: A half a dozen witnesses placed her across town at the time of the kidnapping.  ,3,8
"MULDER: Well, then trust me on this. Shes not working with Wade.  ",3,8
MULDER: She may have bled it.  ,3,8
MULDER: Yes. It may explain why there was so little of it on the carpet in Amys bedroom.  ,3,8
"MULDER: (crumpling the poster and walking away) Hes wrong, Scully.  ",3,8
"MULDER: Im protecting her because I think shes connected to Amy Jacobs, just not the way everybody else thinks she is.  ",3,8
MULDER: (stops and faces her) Carl Wade? Why would she be connected with Carl Wade?  ,3,8
"MULDER: After five years in a dark pit, Im sure she developed some kind of connection with Wade, just not the kind that youre suggesting.  ",3,8
"MULDER: I dont know how to explain it, but I think that Wades abduction of Amy triggered some kind of physical response in Lucy  some kind of empathic transference.  ",3,8
"MULDER: Thats how I account for what Lucys going through. Thats how I account for the identical words that corresponded to Amy, and the spontaneous wounds and blood, as well.  ",3,8
MULDER: Because shes afraid. (steps away from her and leans against a file cabinet.)  ,3,8
MULDER: (getting irritated) What dont I see?  ,3,8
"MULDER: (hurt and angry) You dont think Ive thought of that? I have. And not everything I do, say, think, and feel goes back to my sister. You, of all people should realize that sometimes motivations for behavior can be more complex and mysterious than tracing them back to one single childhood experience.  ",3,8
MULDER: What about the girl? Was she with him?  ,3,8
MULDER: Which way was the car headed?  ,3,8
"MULDER: (looking at map) Okay, Interstate 12 county 15 north  903. look at this. Right off the 903.  ",3,8
MULDER: Thats where Lucy was found 17 years ago.  ,3,8
"MULDER: Its a small town, Scully. Somebodys bound to know Wades face. Know where he lives.  ",3,8
"MULDER: (pointing to photography store) But hes a photographer, right?  ",3,8
MULDER: He should have an account here.  ,3,8
MULDER: Amy? (he goes out of sight)  ,3,8
MULDER: Yeah.  ,3,8
"MULDER: No. Ill take her. Come on, Lucy.  ",3,8
"MULDER: What else, Lucy? Tell me what else?  ",3,8
"MULDER: Lucy, you came here to help her.  ",3,8
MULDER: Why else would you come back here if not for Amy? Youre sharing her pain.  ,3,8
MULDER: Youre the survivor. Youre the strong one. Now Amy needs some of your strength.  ,3,8
MULDER: She has to make it and you have to help her.  ,3,8
"MULDER: Lucy, Lucy, sit down. Sit down. (puts her in backseat of car)  ",3,8
MULDER: Theyre in the water.  ,3,8
MULDER: Theres a river near here. I think thats where they are.  ,3,8
MULDER: Wade lives here. He knows these woods. He could be doubling back.  ,3,8
"MULDER: No, but I think thats what shes trying to do. (begins running)  ",3,8
MULDER: Wade! Federal Officer! Hold it right there!  ,3,8
MULDER: Shes not breathing. No pulse either.  ,3,8
"MULDER: Come on, Amy, breathe. (breathes again)  ",3,8
"MULDER: Damn it, Amy, come on!  ",3,8
MULDER: Hows Amy?  ,3,8
MULDER: How serious were her injuries?  ,3,8
MULDER: He must have dragged her through the woods for at least a mile.  ,3,8
MULDER: Did they finish up on Lucy?  ,3,8
"MULDER: She drowned, didnt she?  ",3,8
MULDER: She saved Amys life.  ,3,8
MULDER: I think she died for more than Amy. (rises and crosses to window)  ,3,8
"MULDER: I think finally, it was  the only way she could escape. The only way she could forget what happened 17 years ago. Finally, the only way she could outrun Carl Wade.  ",3,8
MULDER: Come on in.  ,3,9
MULDER: Something that just came in the mail.  ,3,9
"MULDER: According to the magazine ad I answered, it's an alien autopsy. Guaranteed authentic.  ",3,9
"MULDER: Twenty-nine ninety-five, plus shipping.  ",3,9
"MULDER: But it, it does look authentic.  ",3,9
"MULDER: Well, maybe it's this green substance they seem to be extracting from the subject.  ",3,9
"MULDER: It's widely held that aliens don't have blood, Scully.  ",3,9
MULDER: Where's the alien.  ,3,9
"MULDER: No, that, that autopsy you saw on TV was so fake precisely because it tried to show too much.  ",3,9
"MULDER: Yes, and because, uh...  ",3,9
"MULDER: Some guy in Allentown, Pennsylvania. Claims he pulled it off the satellite dish at two in the morning.  ",3,9
MULDER: Back door's been busted open.  ,3,9
MULDER: Federal agent!  ,3,9
MULDER: Did you try the F.B.I. field office?  ,3,9
"MULDER: Well, look at this... a beacon in the night.  ",3,9
"MULDER: You don't, uh, speak Japanese by any chance, do you?  ",3,9
"MULDER: A murder suspect, yeah.  ",3,9
MULDER: What are you talking about?  ,3,9
"MULDER: This man, sitting in here?  ",3,9
"MULDER: Oh, I didn't get his name. I was too busy getting my ass kicked.  ",3,9
MULDER: Tracking down a video piracy thing.  ,3,9
MULDER: Obviously not strengthening the international relations.  ,3,9
"MULDER: No, I paid my twenty-nine ninety-five, Scully. I think I'm entitled to a few more answers, don't you think?  ",3,9
MULDER: I just remembered a piece of evidence from the crime scene that I forgot to turn in.  ,3,9
MULDER: They look like satellite photos.  ,3,9
"MULDER: Maybe he was going to fit her for a pillowcase too. Why don't you stick around, get a motel room and check it out in the morning?  ",3,9
"MULDER: I'm going to go back to D.C. like a good boy, like Skinner told me to do, and show these to a few friends of ours.)  ",3,9
MULDER: So you're saying that's from a German satellite?  ,3,9
"MULDER: Got to love that global economy, huh?  ",3,9
MULDER: Japanese diplomat.  ,3,9
MULDER: What exactly are they spying on there?  ,3,9
MULDER: Did they find it?  ,3,9
MULDER: Why do you say that?  ,3,9
MULDER: The naval shipyard.  ,3,9
"MULDER: Well, maybe what they found wasn't a Japanese sub.  ",3,9
"MULDER: It's a salvage ship registered in San Diego. According to the harbor master, you went out to meet the boat when customs wouldn't allow it into port.  ",3,9
"MULDER: The D.E.A.? Why, what was the problem?  ",3,9
MULDER: Did they find anything?  ,3,9
MULDER: Were they?  ,3,9
"MULDER: Well, that doesn't make any sense.  ",3,9
"MULDER: The Talapus came nonstop from Panama. She would have had to stop to refuel, wouldn't she?  ",3,9
MULDER: Would you do me a favor? Would you see if there's any paperwork on this? See if there's a heading or a destination for the Talapus.  ,3,9
MULDER: That's all right. I'm happy to wait.  ,3,9
MULDER: I don't remember giving you a key.  ,3,9
"MULDER: Yeah, I guess I should really fire my maid, shouldn't I?  ",3,9
MULDER: What are you talking about?  ,3,9
MULDER: Our murder suspect.  ,3,9
MULDER: What do they think was in it?  ,3,9
MULDER: Am I being accused of murder?  ,3,9
MULDER: Agent Scully has it.  ,3,9
"MULDER: I don't know, I haven't spoken to her since I left her in Allentown.  ",3,9
MULDER: Mind if I tidy up a bit in here first?  ,3,9
MULDER: Thank you for seeing me on such short notice.  ,3,9
MULDER: Then you already know what I'm up against.  ,3,9
MULDER: I need your advice on how to proceed.  ,3,9
MULDER: I'd be implicating myself.  ,3,9
MULDER: But I can't afford to become entangled in a murder investigation. Not now.  ,3,9
MULDER: Because of what I've seen. Because it would give them time to bury it all where I might not find it again.  ,3,9
MULDER: I'm listening.  ,3,9
MULDER: What kind of project?  ,3,9
MULDER: What am I onto here?  ,3,9
MULDER: Scully.  ,3,9
MULDER: I got something to show you.  ,3,9
MULDER: Allentown?  ,3,9
"MULDER: Oh, what'd you find?  ",3,9
"MULDER: But you're fine, aren't you, Scully?  ",3,9
MULDER: That is disturbing. But I don't think you should freak out until we find out what this thing is.  ,3,9
MULDER: That's a group of Japanese medical officers taken during World War II.  ,3,9
"MULDER: No, I don't think so. Not unless you were in Japan in the last fifty years.  ",3,9
"MULDER: His name is Doctor Takeo Ishimaru, he's been dead since 1965. He was the commander of an elite section of the Japanese medical corps known as ""seven thirty-one,"" a unit now known to have experimented on human subjects. They performed vivisections without anesthesia...  ",3,9
"MULDER: Four of the doctors you see in this photo were on that videotape I showed you, performing that autopsy.  ",3,9
"MULDER: Somebody could, because those same four men were murdered yesterday, found here right on U.S. soil.  ",3,9
MULDER: That's what I'd like to know.  ,3,9
MULDER: Possibly our government.  ,3,9
"MULDER: For continuing their work. The work the Nazis were doing, trying to create an alien-human hybrid.  ",3,9
"MULDER: Scully, after all you've seen... after all you've told me you've seen. The tunnel with medical files, the, the beings moving past you, the... the implant in your neck, why do you refuse to believe?  ",3,9
MULDER: You think that believing is easy?  ,3,9
MULDER: Part of our government's secret railroad. Train cars used to carry test subjects.  ,3,9
MULDER: From someone like you who wants proof...  ,3,9
"MULDER: Hey, Scully, it's me.  ",3,9
"MULDER: A trainyard in Quinnimont, West Virginia. A group of Japanese men just put someone in one of those boxcars we saw in the satellite photos.  ",3,9
"MULDER: Something serious is going down here, Scully.  ",3,9
MULDER: The thing they put in the train? It was alive.  ,3,9
MULDER: I got to get on that train. It's hooking up with a Canadian passenger train outside Cincinnati.  ,3,9
"MULDER: Well, that's where you know him from, then.  ",3,9
"MULDER: Express train to Vancouver, what track is it on?  ",3,9
"MULDER: When, when did it leave?  ",3,9
MULDER: Thanks.  ,3,9
MULDER: Mulder.  ,3,9
MULDER: Why not?  ,3,9
MULDER: Who told you that?  ,3,9
"MULDER: Who told you, Scully?  ",3,9
MULDER: I can't.  ,3,9
"MULDER: Aw, damn it.  ",3,10
"MULDER: Excuse me. I need your assistance. I'm a federal agent, my name is Mulder.  ",3,10
MULDER: I need access to that quarantine car you picked up in West Virginia.  ,3,10
"MULDER: I'm a federal agent, sir. I need you to open that car.  ",3,10
"MULDER: Well, somebody's got to be able to get in that car.  ",3,10
MULDER: What's his name?  ,3,10
MULDER: Can you take me to his compartment?  ,3,10
MULDER: Stay here. Knock on the door but stay away from it.  ,3,10
MULDER: Knock again.  ,3,10
MULDER: Open it. Just unlock it and step away.  ,3,10
MULDER: If he finds you before I find him...  ,3,10
MULDER: I just want you to point it at him.  ,3,10
MULDER: Just make sure he runs my way.  ,3,10
MULDER: Excuse me?  ,3,10
"MULDER: No, no, shh shh shh, he's just got a little motion sickness.  ",3,10
"MULDER: I found Zama four cars up, strangled in the bathroom.  ",3,10
"MULDER: Now, I want you to get up there and seal off that bathroom. I want you to get word to the engineer not to stop this train until I tell him, okay? Until I find the killer.  ",3,10
MULDER: Put your hands in the air and turn around!  ,3,10
"MULDER: Well, maybe you should've filled me in before you tried to kill me. Now, who are you?  ",3,10
MULDER: Answer me!  ,3,10
MULDER: The N.S.A.? Since when did they start issuing you guys piano wire instead of guns?  ,3,10
"MULDER: There's something on this train, but it's not a bomb. Throw that here.  ",3,10
MULDER: Why?  ,3,10
MULDER: So you killed him.  ,3,10
MULDER: Put your hands in the air.  ,3,10
MULDER: I'll take my chances.  ,3,10
MULDER: No.  ,3,10
MULDER: Take it out. Slowly.  ,3,10
MULDER: No? How did you get in here?  ,3,10
MULDER: One-one-one-one-four-seven-one.  ,3,10
MULDER: What?  ,3,10
"MULDER: There's a bomb on this train, where is it?  ",3,10
"MULDER: No, it couldn't be anywhere. If you activated it coming in here, it's got to be on this car.  ",3,10
MULDER: Where do you think it is?  ,3,10
MULDER: You know what I think? I think you're a liar. I don't think you work for the N.S.A. and I don't think there's a bomb on this train.  ,3,10
MULDER: Shut up!  ,3,10
MULDER: Put it down.  ,3,10
"MULDER: Scully, where are you?  ",3,10
MULDER: Who dialed this number?  ,3,10
MULDER: What are you talking about?  ,3,10
"MULDER: You're wrong, Scully.  ",3,10
"MULDER: Well, whatever his name was, Scully, he's dead. I don't think this has anything to do with lepers.  ",3,10
MULDER: Who told you this?  ,3,10
"MULDER: Well, why do you believe him?  ",3,10
MULDER: What? What's he shown you?  ,3,10
"MULDER: What are you talking about, Scully?  ",3,10
MULDER: Scully...  ,3,10
MULDER: Scully? Scully?  ,3,10
"MULDER: Yeah. So what are you saying, that Zama is the one who abducted these women?  ",3,10
MULDER: What about the UFO I saw them working on?  ,3,10
MULDER: How can you be so sure?  ,3,10
MULDER: Those tests never ended.  ,3,10
MULDER: Why?  ,3,10
"MULDER: Well, Scully, you're a little late. I'm locked inside that train car.  ",3,10
MULDER: Where is it?  ,3,10
MULDER: Step back.  ,3,10
MULDER: Hold on.  ,3,10
MULDER: Little over an hour and a half.  ,3,10
MULDER: Why?  ,3,10
"MULDER: Uh, Scully, you're breaking up. I can't hear you.  ",3,10
MULDER: Scully?  ,3,10
MULDER: Scully?  ,3,10
MULDER: Step aside.  ,3,10
"MULDER: All right, listen to me. I want you to get word to the engineer that there's a bomb on this car.  ",3,10
"MULDER: That's right. I want you to tell him not to make his next scheduled stop and to reroute, you understand?  ",3,10
MULDER: I want you to tell him to choose a place as far away from a populated area as possible and unhook this car.  ,3,10
"MULDER: Let's move into the corner over there, now.  ",3,10
MULDER: I want you to kneel down and put your hands behind you back.  ,3,10
"MULDER: If what's on this train is important as I think it is, they will.  ",3,10
MULDER: What do you care? You were trying to kill me anyway.  ,3,10
"MULDER: Scully, let me tell you, you haven't seen America till you've seen it from a train.  ",3,10
"MULDER: We're not going to make that station, Scully.  ",3,10
"MULDER: No, but I'm sure they'll find us. We probably lit up every spy satellite in this hemisphere. It was the only thing to do, Scully. If you're right about what's on this car, an explosion outside a populated area...  ",3,10
MULDER: We'll have to wait and see.  ,3,10
MULDER: I'm fielding all offers and suggestions.  ,3,10
"MULDER: Tell me something. You got on this train to kill Doctor Zama, then what? What were your orders then?  ",3,10
"MULDER: Well, what about that thing locked back there? What provisions were made for saving its life?  ",3,10
"MULDER: You know what it is, don't you? You're going to die for that thing. Is it important enough to die for? What is it, a plague carrier? A leper?  ",3,10
MULDER: A weapon?  ,3,10
"MULDER: A standing army immune to the effects of those weapons. That's what Doctor Zama did, didn't he? He came up with an immunity to those weapons... and he was trying to smuggle that thing back to his own country to share the science, only our government isn't in the mood to share, right? They've been doing experiments since World War II, tests on innocent civilians... but Zama succeeded where the others had failed. And that thing in there...  ",3,10
MULDER: Yeah.  ,3,10
MULDER: What is it?  ,3,10
MULDER: What are you watching?  ,3,10
MULDER: You mean I might get my twenty-nine ninety-five's worth after all?  ,3,10
MULDER: Let's hope not. What's the code?  ,3,10
"MULDER: Wait, are you there?  ",3,10
"MULDER: One, zero, one.  ",3,10
"MULDER: Three, three.  ",3,10
"MULDER: Tick-tick, Scully.  ",3,10
MULDER: You think it's a one? Are you sure?  ,3,10
MULDER: One.  ,3,10
"MULDER: No. Okay, call me if you learn anything.  ",3,10
"MULDER: Senator Matheson hasn't returned my phone calls. His, uh... his aides say he's out of the country.  ",3,10
MULDER: Did you locate the briefcase that Zama left on the train.  ,3,10
MULDER: This doesn't look like the same briefcase.  ,3,10
MULDER: These aren't the same journals. They've all been rewritten.  ,3,10
"MULDER: They're getting away with it, Scully.  ",3,10
MULDER: I know what I saw on that train car. It wasn't a leper and it wasn't human.  ,3,10
"MULDER: I, I don't need an apology for the lies. I, I don't care about the fictions they create to cover their crimes. I want them accountable for what did happen. I want an apology for the truth.  ",3,10
MULDER: His parishioners said the Reverend Finley was bleeding from his hands like the wounds of the crucifixion.  ,3,11
MULDER: The sign bestowed by God upon the righteous.  ,3,11
"MULDER: No, I think this is a case of too much faith. (He dabs his finger into some ""blood"" next to the body and tastes it) And too much sugar.  ",3,11
MULDER: It's fake. Just like the others.  ,3,11
"MULDER: I've been tracking a series of international religiously motivated murders. All of the victims have been so-called stigmatics and all of them have been frauds, like the Reverend here.  ",3,11
"MULDER: It's a claim that's wholly unsubstantiated, though there have been many pretenders, eleven of whom have been murdered in the past three years.  ",3,11
"MULDER: Either we're dealing with a psychotic religious fanatic who's hell-bent on exposing these kind of frauds, or a less programmatic psycho who harbors a murderous resentment towards the church, or maybe it's just a very disgruntled altar boy.  ",3,11
"MULDER: Anyway, it's safe to say this guy carries a grudge, and if I'm right about one thing, the killer is here and he's looking for victim number twelve.  ",3,11
MULDER: Thank you for contacting us so quickly.  ,3,11
MULDER: Institutionalized for what?  ,3,11
MULDER: Let me talk to you for a minute here ...  ,3,11
MULDER: Mrs. Kryder? My name is Fox Mulder. I'm with the FBI.  ,3,11
MULDER: We're here because we have reason to believe that Kevin may be in some danger.  ,3,11
"MULDER: As strange as it might sound, someone may be targeting people like Kevin.  ",3,11
MULDER: People exhibiting wounds that might be interpreted as having religious significance.  ,3,11
"MULDER: I'm sure there's an explanation, Mrs. Kryder, but right now everybody's primary concern should be for Kevin's safety.  ",3,11
"MULDER: Let's get out of here, Scully.  ",3,11
MULDER: They've taken him into custody. We've warned them about his safety. I don't know what else we can do.  ,3,11
"MULDER: No, not yet, but my guess is that the kid did it to himself. The boy has his father taken away. He hurts himself to relieve his dad of guilt and to get him back.  ",3,11
MULDER: He's in an institution.  ,3,11
"MULDER: Mr. Kryder, the claims you've made for your son may have put him in danger. Do you know that?  ",3,11
MULDER: They?  ,3,11
MULDER: These forces. What do they want?  ,3,11
MULDER: He's chosen you?  ,3,11
MULDER: Let's go.  ,3,11
MULDER: Excuse me?  ,3,11
"MULDER: What color hair did he have? Was it brown, or blonde, or ...  ",3,11
"MULDER: How tall was he? (he stands) Was he about my height? Taller, shorter?  ",3,11
"MULDER: About 6-2, 6-3?  ",3,11
"MULDER: We're sorry, Mrs. Kryder. We're doing everything we can. Scully ...  ",3,11
"MULDER: Yeah, looks like Kevin was abducted by Homer Simpson's evil twin.  ",3,11
MULDER: I think that's a safe assumption.  ,3,11
MULDER: None of the previous victims were ten year old boys.  ,3,11
MULDER: Yeah. We're not sure how accurate that is.  ,3,11
"MULDER: Federal agents! Put down your weapon! Put it down right here! Down, now! Put it down! (Jarvis complies) Where's the boy? Where's the boy?  ",3,11
MULDER: Where's the boy? What have you done with Kevin?  ,3,11
MULDER: Is this Kevin Kryder's blood?  ,3,11
MULDER: Did you hurt him?  ,3,11
MULDER: By who? Who asked you to protect him?  ,3,11
"MULDER: God! That's quite a long distance call, isn't it?  ",3,11
"MULDER: It's the end of the world as we know it, right?  ",3,11
"MULDER: (angrily) And he that has a tongue, let him speak. Now tell me where he is!  ",3,11
MULDER: And townsfolk wonder why I sleep in on Sunday.  ,3,11
"MULDER: Sit down, Mr. Jarvis.  ",3,11
MULDER: Hey!  ,3,11
"MULDER: Kevin, what is it?  ",3,11
MULDER: Any revelations?  ,3,11
"MULDER: You want me to smell him? (he moves around the table with a slight smile, then complies) What am I supposed to be smelling?  ",3,11
MULDER: You're serious?  ,3,11
MULDER: (smiling) And now you're suggesting that this is St. Owen?  ,3,11
"MULDER: Scully, those stories you're referring to are mostly regarded as hagiographic fabrications, not historical truths, just like the occurrence of the stigmata.  ",3,11
"MULDER: This man? He was rather abnormal in life, maybe he's decomposing abnormally.  ",3,11
MULDER: Do you really believe that?  ,3,11
MULDER: Even if science can't explain them?  ,3,11
"MULDER: Well, I wouldn't let faith overwhelm your judgement here. These people are simply fanatics behaving fanatically using religion as a justification. They give bona fide paranoiacs like myself a bad name. They're no more divine or holy than that ketchup we saw on the murdered preacher. And I think once you've finished your autopsy, you'll come to the same conclusion. St. Owen.  ",3,11
MULDER: It's what you turned up.  ,3,11
"MULDER: Those burn marks and impressions on Jarvis's neck. They pulled a pair of prints. Take a look at this. A partial index and a full oblique, burned right onto the skin.  ",3,11
"MULDER: No, not yet. But I cross-checked the prints in the NCIC database. They belong to a businessman named Simon Gates. He's the CEO of a company based in Atlanta. He's one of the wealthiest men in the south.  ",3,11
"MULDER: He was arrested three few years ago on a DUI - left a young boy paralyzed. He received a suspended sentence, then he left the country. Went to Israel.  ",3,11
MULDER: Have you heard of Jerusalem Syndrome?  ,3,11
"MULDER: Yeah, they return home convinced they're the Messiah, Moses, the Virgin Mary, even the Devil himself. Well, if that's what Simon Gates believes, he's just as delusional as Michael Kryder, only a lot more dangerous.  ",3,11
"MULDER: (on phone) Mulder. What? Well, how is that possible?  ",3,11
"MULDER: (on phone) Hold on. (to Scully) Yeah, a social worker took Kevin out to lunch at 1 o'clock supposedly, but witnesses claim they saw him outside the facility with his mother at the exact same time.  ",3,11
MULDER: Is he ready to go?  ,3,11
MULDER: Did he ID Gates?  ,3,11
"MULDER: That'll help. A man fitting Gates' description rented a car, under the name Forau. That's one of the Devil's disciples.  ",3,11
MULDER: You never draw my bath.  ,3,11
MULDER: He was in an accident.  ,3,11
MULDER: Maybe you missed it.  ,3,11
MULDER: What do you think it is?  ,3,11
MULDER: Scully ...  ,3,11
MULDER: Sure of what exactly?  ,3,11
"MULDER: That was in the Bible. It's a parable, it's a metaphor for the truth, not the truth itself. Why didn't Kevin conveniently bi-locate when Owen Jarvis abducted him from the shelter.  ",3,11
"MULDER: I wait for a miracle every day. But what I've seen here has only tested my patience, not my faith.  ",3,11
MULDER: I'll call the police.  ,3,11
MULDER: They put up a cordon in a ten-mile radius. No sign of them. Best I can figure is they must have had an acetylene torch in the back of the truck. I don't know how else they could have done it.  ,3,11
MULDER: Who?  ,3,11
MULDER: Why?  ,3,11
"MULDER: The man's a nut case, Scully.  ",3,11
"MULDER: But if Kevin is in immediate danger, even if his father has anything to say about Gates, it doesn't help us right now.  ",3,11
MULDER: Scully?  ,3,11
"MULDER: Scully. They had a sighting of Gates. He tried to rent another car at the airport, under the name Forau again. Did you hear what I said?  ",3,11
"MULDER: Scully, the man is at the airport. If he hasn't already killed Kevin, he's trying to get as far away as he can.  ",3,11
"MULDER: You think it's you, don't you? You think you're the one who's been chosen to protect Kevin.  ",3,11
MULDER: You OK?  ,3,11
MULDER: We have a couple of hours before our flight. I told the sheriff we'd go down and make a formal statement about Gates' death.  ,3,11
MULDER: OK.  ,3,11
MULDER: Mulder.  ,3,12
"MULDER: Oh, my apartment complex was being fumigated so I thought I'd get away for the weekend. I came up to Massachusetts.  ",3,12
"MULDER: No, just, uh... sitting and thinking.  ",3,12
MULDER: Scully... what are you wearing?  ,3,12
"MULDER: Isn't that what, uh, Doctor Zaius said to Charlton Heston at the end of ""Planet of the Apes?""  ",3,12
"MULDER: Scully, I got to go.  ",3,12
"MULDER: Just sitting, thinking.  ",3,12
MULDER: I heard reports of several UFO sightings in this area last night. You see anything?  ,3,12
MULDER: Any more calls tonight?  ,3,12
MULDER: No.  ,3,12
"MULDER: Oh, I was just knocking off some bugs that landed on my...  ",3,12
"MULDER: Maybe, maybe beetles. I dunno, I'm not really good with bugs.  ",3,12
MULDER: What's the matter?  ,3,12
MULDER: I think you better get up here.  ,3,12
MULDER: It appears that cockroaches are mortally attacking people.  ,3,12
MULDER: I'm crouching over a bug exterminator whose recently deceased body was discovered with cockroaches crawling all over him. The local sheriff says that two other bodies were found in the same condition this afternoon.  ,3,12
MULDER: Miller's Grove.  ,3,12
MULDER: Insect bites?  ,3,12
MULDER: No.  ,3,12
MULDER: Anaphylactic shock?  ,3,12
"MULDER: Okay, we'll check that out.  ",3,12
"MULDER: No, no, no, I'm sure you're right. Thanks, Scully.  ",3,12
MULDER: My drug dealer.  ,3,12
"MULDER: I take it back, Scully, I think you better get up here.  ",3,12
"MULDER: Yeah, and this was no allergic reaction. Two witnesses claim they saw the victim screaming about cockroaches burrowing into him.  ",3,12
"MULDER: We haven't located any yet, but there are wounds all over the body.  ",3,12
"MULDER: Well... the victim did attempt to extract the insects using a razor blade, but we're not sure all of the incisions are self-inflicted, except for the severed artery.  ",3,12
"MULDER: Uh, well, he did have a homemade lab set up, but I'm not sure what he was producing.  ",3,12
MULDER: Ekbom's Syndrome?  ,3,12
"MULDER: No, uh, you're probably right. I'm sorry to bother you.  ",3,12
MULDER: How about some urine? For a drug test.  ,3,12
MULDER: Get me a container.  ,3,12
MULDER: It must have molted. It's just empty exoskeleton.  ,3,12
"MULDER: We've got more than that, sheriff. I think that bug's exoskeleton was made of metal.  ",3,12
MULDER: An abrasion caused by a metallic substance?  ,3,12
MULDER: What do you need to tell me?  ,3,12
MULDER: I don't know.  ,3,12
MULDER: I wouldn't know.  ,3,12
MULDER: He's upset that I don't know what's going on here.  ,3,12
"MULDER: I see the correlation, but just because I work for the federal government doesn't mean I'm an expert on cockroaches.  ",3,12
MULDER: Experiments?  ,3,12
MULDER: What are you suggesting?  ,3,12
"MULDER: You might want to keep that theory to yourself, sheriff. No need to create a panic.  ",3,12
MULDER: I don't see any roaches.  ,3,12
MULDER: Hmm. He doesn't appear odd in any...  ,3,12
"MULDER: The medical examiner. His body was found next to a toilet, covered in roaches.  ",3,12
MULDER: Yeah.  ,3,12
MULDER: Brain aneurysm?  ,3,12
"MULDER: Well, how do you explain the roaches, though?  ",3,12
MULDER: Almost.  ,3,12
MULDER: Mulder.  ,3,12
MULDER: Do they attack people?  ,3,12
MULDER: But do they attack people?  ,3,12
"MULDER: Well, that all makes perfect sense, Scully. I don't like it at all. Did you know that the federal government, under the guise as the department of agriculture, as been conducting secret experiments up here?  ",3,12
"MULDER: It's too late, I'm already inside.  ",3,12
MULDER: I'm a house. It's apparently empty.  ,3,12
"MULDER: It's a, uh... typical two-story suburban house. Nice big living room, sparsely furnished...  ",3,12
MULDER: Yeah. They're rippling.  ,3,12
MULDER: Cockroaches. They're everywhere.  ,3,12
MULDER: Flashlight went out...  ,3,12
MULDER: Got to go.  ,3,12
MULDER: I'm a federal agent.  ,3,12
"MULDER: Agent Mulder, F.B.I.  ",3,12
"MULDER: Doctor Berenbaum, I'm going to have to ask you a few questions.  ",3,12
MULDER: What's a woman like you doing in a place like this?  ,3,12
MULDER: Why all the secrecy about your research? You've got some of the good townspeople suspicious.  ,3,12
"MULDER: Yeah... but those, those cockroaches... are they, uh, a normal species?  ",3,12
"MULDER: Have you ever come across, uh, a type of cockroach that, uh, is attracted to people?  ",3,12
"MULDER: Really. So, you've never seen an instance where a cockroach actually attacks a human being?  ",3,12
MULDER: Nose?  ,3,12
MULDER: What is that supposed to prove?  ,3,12
"MULDER: As, uh... as nocturnal insect swarms. That's, uh... that's fascinating.  ",3,12
MULDER: Honest?  ,3,12
"MULDER: No. No, actually, I, I find it quite refreshing.  ",3,12
MULDER: I can't sleep.  ,3,12
MULDER: They're conducting legitimate experiments.  ,3,12
MULDER: No. But she did tell me everything else there is to know about insects.  ,3,12
MULDER: Bambi also has this theory I've never come acro...  ,3,12
"MULDER: Doctor Berenbaum. Anyway, her theory is...  ",3,12
MULDER: Yeah. Both her parents were naturalists. Her theory is that UFOs are actually nocturnal insect swarms passing through electrical air fields.  ,3,12
"MULDER: Scully, can I confess something to you?  ",3,12
MULDER: I hate insects.  ,3,12
"MULDER: No, no, I'm not afraid of them. I hate them. One day back when I was a kid, I, uh... I was climbing this tree when I noticed this leaf walking towards me. It took forever for me to realize that it was no leaf.  ",3,12
"MULDER: Yeah, I had a praying mantis epiphany and, as a result, I screamed. No, not... not a girlie scream, but the scream of someone being confronted by some before unknown monster that had no right existing on the same planet I inhabited. Did you ever notice how a praying mantis' head resembles an alien's head? I mean, the mysteries of the natural world were revealed to me that day, but instead of being astounded, I was... repulsed.  ",3,12
"MULDER: Oh, I got to go.  ",3,12
MULDER: One of the motel guests died.  ,3,12
"MULDER: Scully, I think this man died from simply from a reaction to the cockroaches.  ",3,12
"MULDER: No, I... I'm saying that I think this mans imply had a heart attack.  ",3,12
